Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2023-04-12,0.0331819988787174,0.0337509997189044,0.0321980006992816,0.0332099981606006,17035071,0.0,0.0,0.0843809379463169,0.0008438093794631
2023-04-13,0.0326460003852844,0.0332249999046325,0.03201400116086,0.0330730006098747,19184857,0.0,0.0,1.3079710211079036,0.013079710211079
2023-04-14,0.0330879986286163,0.0358339995145797,0.033025998622179,0.0352599993348121,19364727,0.0,0.0,6.564315752592359,0.0656431575259235
2023-04-15,0.0352619998157024,0.0358499996364116,0.0329700000584125,0.0336919985711574,15982344,0.0,0.0,-4.452388556379792,-0.0445238855637979
2023-04-16,0.0337009988725185,0.0339780002832412,0.0274059996008873,0.0274059996008873,25048011,0.0,0.0,,-0.1867896941406226
2023-04-17,0.02730100043118,0.0298519991338253,0.0261889994144439,0.0277779996395111,26825178,0.0,0.0,1.747185820290778,0.0174718582029077
2023-04-18,0.0277869999408721,0.028906999155879,0.0245590005069971,0.0255449991673231,15790248,0.0,0.0,-8.068524051965843,-0.0806852405196584
2023-04-19,0.0255430005490779,0.0255430005490779,0.0221079997718334,0.0229940004646778,17995040,0.0,0.0,-9.979250791239243,-0.0997925079123924
2023-04-20,0.0229739993810653,0.0275999996811151,0.0229739993810653,0.0256530009210109,15625756,0.0,0.0,11.661015113257037,0.1166101511325703
2023-04-21,0.0256530009210109,0.0273979995399713,0.0243009999394416,0.0244110003113746,12906898,0.0,0.0,-4.841541203933969,-0.0484154120393396
2023-04-22,0.0244139991700649,0.025357000529766,0.0235050003975629,0.0240540001541376,10510688,0.0,0.0,-1.4745597942376782,-0.0147455979423767
2023-04-23,0.0240550003945827,0.0248380005359649,0.0236530005931854,0.0240010004490613,8971035,0.0,0.0,-0.2244853237814156,-0.0022448532378141
2023-04-24,0.0240030009299516,0.026180999353528,0.0239020008593797,0.0256830006837844,11677928,0.0,0.0,6.999123812624836,0.0699912381262483
2023-04-25,0.0256769992411136,0.0275439992547035,0.0256769992411136,0.0265679992735385,13311980,0.0,0.0,3.470031774578409,0.034700317745784
2023-04-26,0.0265670008957386,0.0317220017313957,0.0261920001357793,0.0310260001569986,21072985,0.0,0.0,,0.1678397677916
2023-04-27,0.0310340002179145,0.0316280014812946,0.0291510000824928,0.0313589982688427,15659730,0.0,0.0,1.0472322248054544,0.0104723222480545
